hypodd_id,event_id,origin_time_utc,event_lat_x,event_lon_x,event_depth_km_x,origin_time_nlloc,nlloc_lat,nlloc_lon,nlloc_depth_km,nlloc_rms_s,nlloc_nphs,nlloc_gap_deg,nlloc_herr_km,nlloc_verr_km,nlloc_file,event_lat_y,event_lon_y,event_depth_km_y,magnitude,id,lat,lon,dep,x,y,z,ex,ey,ez,yr,mo,dy,hr,mn,sc,mag,nccp,nccs,nctp,ncts,rcc,rct,cid,hypodd_horizontal_shift_km,hypodd_vertical_shift_km,hypodd_shift_3d_km,hypodd_status,qc_small_cluster,qc_nlloc_depth_boundary,final_lat,final_lon,final_depth_km
21,SGC2022luluqb,2022-06-16T22:45:18.559999Z,7.2135,-73.80216667,31.58,2022-06-16T22:45:17.692397+00:00,7.193026,-73.823174,32.939453,0.171216,8,126.904,8.85416286274428,8.78510671534501,loc\sgc62.20220616.224523.76.grid0.loc.hyp,7.2135,-73.80216667,31.58,1.8,21.0,7.192718,-73.822982,32.861,8126.9,11653.8,6404.1,623.3,519.1,740.4,2022.0,6.0,16.0,22.0,45.0,17.7,1.8,0.0,0.0,7.0,0.0,0.0,0.039,6.0,0.04027068732062286,-0.07845300000000321,0.08818504105728975,relocated,False,False,7.192718,-73.822982,32.861
22,SGC2022mdzfra,2022-06-22T03:10:44.359999Z,7.629,-73.8705,77.95,2022-06-22T03:10:47.144086+00:00,7.363569,-73.969141,54.691406,0.183229,8,240.355,20.361925252784918,15.0691406523398,loc\sgc62.20220622.031055.41.grid0.loc.hyp,7.629,-73.8705,77.95,1.5,22.0,7.366039,-73.964103,54.603,5733.4,-5066.3,-14066.4,701.5,542.7,657.5,2022.0,6.0,22.0,3.0,10.0,47.13,1.5,0.0,0.0,8.0,0.0,0.0,0.047,1.0,0.6197869675314892,-0.0884059999999991,0.626060305368324,relocated,False,False,7.366039,-73.964103,54.603
23,SGC2022metnph,2022-06-22T13:23:17.640000Z,7.2665,-74.159,65.72,2022-06-22T13:23:16.697519+00:00,7.21312,-74.172777,68.855469,0.166434,7,222.286,12.30861486926941,18.225092592357385,loc\sgc62.20220622.132328.04.grid0.loc.hyp,7.2665,-74.159,65.72,1.8,23.0,7.211677,-74.171501,68.842,-17166.5,-22137.5,172.3,375.4,282.4,377.2,2022.0,6.0,22.0,13.0,23.0,16.71,1.8,0.0,0.0,13.0,0.0,0.0,0.066,1.0,0.2134565387942933,-0.01346900000000062,0.21388106020646067,relocated,False,False,7.211677,-74.171501,68.842
24,SGC2022mvfomu,2022-07-01T12:37:59.439999Z,6.872833333,-73.2555,128.52,2022-07-01T12:37:58.193983+00:00,6.760743,-73.332814,136.929688,0.291467,8,120.124,10.763642506140751,17.43966742802167,loc\sgc62.20220701.123816.76.grid0.loc.hyp,6.872833333,-73.2555,128.52,2.8,24.0,6.761684,-73.332682,136.968,-15532.4,-5166.3,7951.1,531.6,991.4,490.3,2022.0,7.0,1.0,12.0,37.0,58.19,2.8,0.0,0.0,7.0,0.0,0.0,0.036,3.0,0.1056495680355501,0.038311999999990576,0.11238167363986713,relocated,False,False,6.761684,-73.332682,136.968
25,SGC2022obwjqd,2022-07-19T07:28:29.359999Z,6.861166667,-73.2815,126.9,2022-07-19T07:28:27.389909+00:00,6.783414,-73.335094,139.53125,0.216883,9,115.887,9.01248578362263,15.71289279540849,loc\sgc62.20220719.072846.22.grid0.loc.hyp,6.861166667,-73.2815,126.9,2.3,25.0,6.78226,-73.335238,139.521,-15815.1,-2890.8,10504.3,534.4,1018.5,489.4,2022.0,7.0,19.0,7.0,28.0,27.39,2.3,0.0,0.0,7.0,0.0,0.0,0.037,3.0,0.12930617680782835,-0.010250000000013415,0.1297117953798252,relocated,False,False,6.78226,-73.335238,139.521
26,SGC2022ofpwob,2022-07-21T08:30:09.380000Z,6.385,-73.64716667,109.69,2022-07-21T08:30:07.149571+00:00,6.304245,-73.706869,117.128906,0.150411,9,225.66,5.757447351040216,11.554263282442546,loc\sgc62.20220721.083024.52.grid0.loc.hyp,6.385,-73.64716667,109.69,3.6,26.0,6.30404,-73.705094,117.147,-5898.9,-13013.2,-2666.4,274.6,224.8,164.6,2022.0,7.0,21.0,8.0,30.0,7.15,3.6,0.0,0.0,28.0,0.0,0.0,0.121,4.0,0.19750640385087664,0.01809400000000494,0.19833348783830168,relocated,False,False,6.30404,-73.705094,117.147
27,SGC2022omvgfe,2022-07-25T06:43:32.380000Z,6.700666667,-74.2005,78.16,2022-07-25T06:43:33.914800+00:00,6.66697,-74.119354,51.222656,0.152997,8,153.671,14.219880449567782,20.707752171590236,loc\sgc62.20220725.064343.55.grid0.loc.hyp,6.700666667,-74.2005,78.16,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,unlinked_nlloc_only,False,False,6.66697,-74.119354,51.222656
28,SGC2022oormtr,2022-07-26T06:59:26.079999Z,7.220666667,-74.353,68.14,2022-07-26T06:59:26.354775+00:00,7.173962,-74.329033,59.894531,0.107285,8,236.887,7.529083609576932,11.518116165415243,loc\sgc62.20220726.065938.24.grid0.loc.hyp,7.220666667,-74.353,68.14,1.5,28.0,7.175511,-74.329801,59.799,-34647.7,-26137.2,-8870.3,253.1,502.4,484.3,2022.0,7.0,26.0,6.0,59.0,26.34,1.5,0.0,0.0,10.0,0.0,0.0,0.056,1.0,0.19196174739760646,-0.09553100000000114,0.21441894604941675,relocated,False,False,7.175511,-74.329801,59.799
29,SGC2022pdaiuz,2022-08-03T02:29:16.420000Z,6.696333333,-73.6905,55.52,2022-08-03T02:29:09.432505+00:00,6.463968,-73.558883,127.679688,0.235359,8,203.362,13.743580319552835,23.764258877566537,loc\sgc62.20220803.022927.32.grid0.loc.hyp,6.696333333,-73.6905,55.52,2.7,29.0,6.46372,-73.558634,127.642,10303.6,4645.3,7828.8,211.2,224.2,127.8,2022.0,8.0,3.0,2.0,29.0,9.43,2.7,0.0,0.0,27.0,0.0,0.0,0.104,4.0,0.038954811697188514,-0.03768800000000283,0.05420205437401454,relocated,False,False,6.46372,-73.558634,127.642
30,SGC2022razkne,2022-08-30T07:44:38.560000Z,7.291166667,-73.48216667,112.79,2022-08-30T07:44:37.826444+00:00,7.241973,-73.490671,118.574219,0.184079,9,102.416,5.863923601139428,13.28333542450841,loc\sgc62.20220830.074454.01.grid0.loc.hyp,7.291166667,-73.48216667,112.79,2.0,30.0,7.244283,-73.489893,118.59,-22542.2,-7786.0,-6632.1,420.7,552.6,293.8,2022.0,8.0,30.0,7.0,44.0,37.82,2.0,0.0,0.0,6.0,0.0,0.0,0.053,5.0,0.270829929839982,0.015781000000004042,0.2712893120971221,relocated,False,False,7.244283,-73.489893,118.59
31,SGC2023scytrc,2023-09-14T13:30:24.282262Z,7.31765396,-74.4568589,52.0703125,2023-09-14T13:30:25.963596+00:00,7.284223,-74.480086,40.382812,0.115876,7,268.807,19.019989484749985,21.87290561402394,loc\sgc62.20230914.133039.83.grid0.loc.hyp,7.31765396,-74.4568589,52.0703125,2.1,31.0,7.284466,-74.478304,41.666,-51040.2,-14087.7,-27003.5,480.4,541.7,2089.5,2023.0,9.0,14.0,13.0,30.0,25.96,2.1,0.0,0.0,5.0,0.0,0.0,0.041,1.0,0.19840776710059815,1.2831879999999956,1.2984364002098192,relocated,False,False,7.284466,-74.478304,41.666
32,SGC2023tdymfy,2023-09-29T06:22:37.710000Z,7.1925,-73.78916667,23.81,2023-09-29T06:22:36.596784+00:00,7.164173,-73.816324,32.361328,0.0327693,8,213.852,13.097442498442206,17.962822718047406,loc\sgc62.20230929.062242.92.grid0.loc.hyp,7.1925,-73.78916667,23.81,2.1,32.0,7.164812,-73.816252,32.496,8871.4,8567.6,6038.6,622.6,532.9,715.6,2023.0,9.0,29.0,6.0,22.0,36.58,2.1,0.0,0.0,5.0,0.0,0.0,0.043,6.0,0.07149946975118975,0.1346720000000019,0.15247531524381844,relocated,False,False,7.164812,-73.816252,32.496
