hypodd_id,event_id,origin_time_utc,event_lat_x,event_lon_x,event_depth_km_x,origin_time_nlloc,nlloc_lat,nlloc_lon,nlloc_depth_km,nlloc_rms_s,nlloc_nphs,nlloc_gap_deg,nlloc_herr_km,nlloc_verr_km,nlloc_file,event_lat_y,event_lon_y,event_depth_km_y,magnitude
36,SGC2024bkjqkz,2024-01-20T19:31:45.280000Z,6.804333333,-73.09916667,150.91,2024-01-20T19:31:48.720950+00:00,6.843181,-73.124544,120.164062,0.150689,6,150.231,12.792263286846469,22.78933961307348,loc\sgc62.20240120.193205.30.grid0.loc.hyp,6.804333333,-73.09916667,150.91,3.2
37,SGC2024clkrqm,2024-02-04T13:04:09.519999Z,6.796333333,-73.125,150.3,2024-02-04T13:04:14.528693+00:00,6.847303,-73.160776,106.289062,0.117592,7,139.932,16.32510336873859,28.750721730071405,loc\sgc62.20240204.130429.53.grid0.loc.hyp,6.796333333,-73.125,150.3,4.1
38,SGC2024lyrntx,2024-06-18T05:56:17.420000Z,6.834166667,-73.163,150.14,2024-06-18T05:56:22.265397+00:00,6.8844,-73.160789,103.976562,0.187974,8,137.325,16.03695731739659,26.468849616105345,loc\sgc62.20240618.055636.81.grid0.loc.hyp,6.834166667,-73.163,150.14,2.4
39,SGC2024shqvfe,2024-09-16T02:53:12.380000Z,7.561833333,-73.13733333,139.57,2024-09-16T02:53:20.102808+00:00,7.34296,-73.159816,69.433594,0.126488,8,208.121,21.68886811246728,37.281630865615305,loc\sgc62.20240916.025331.68.grid0.loc.hyp,7.561833333,-73.13733333,139.57,2.4
40,SGC2024tcjfvv,2024-09-27T09:38:08.189999Z,7.3705,-73.05966667,161.55,2024-09-27T09:38:16.729334999+00:00,7.23476,-73.106518,80.851562,0.138896,6,186.345,24.16977451280835,34.182159089209094,loc\sgc62.20240927.093830.27.grid0.loc.hyp,7.3705,-73.05966667,161.55,2.4
41,SGC2025kgeyrg,2025-05-26T00:19:43.560000Z,6.560666667,-73.50683333,117.39,2025-05-26T00:19:50.825121+00:00,6.859669,-73.396289,46.742188,0.199562,8,112.935,19.369357242820424,36.41593057989868,loc\sgc62.20250526.001959.27.grid0.loc.hyp,6.560666667,-73.50683333,117.39,3.4
42,SGC2025pgzatv,2025-08-05T06:07:28.339999Z,7.723166667,-73.75666667,43.88,2025-08-05T06:07:30.712465+00:00,7.508865,-73.571472,10.03125,0.0701608,7,216.284,25.24460338369371,31.270257434181765,loc\sgc62.20250805.060737.20.grid0.loc.hyp,7.723166667,-73.75666667,43.88,1.6
43,SGC2025qrozun,2025-08-25T04:50:13.039999Z,7.1245,-73.44416667,34.12,2025-08-25T04:50:12.637001+00:00,7.122954,-73.419737,17.041016,0.0949289,7,132.681,15.506579248822096,38.75345145919264,loc\sgc62.20250825.045019.98.grid0.loc.hyp,7.1245,-73.44416667,34.12,1.9
44,SGC2025wvcvfj,2025-11-20T02:38:54.560000Z,7.628833333,-74.03433333,67.64,2025-11-20T02:38:53.691731+00:00,7.58512,-74.068297,65.820312,0.0804293,7,257.902,21.695252936990617,23.097748808054867,loc\sgc62.20251120.023908.07.grid0.loc.hyp,7.628833333,-74.03433333,67.64,3.8
45,SGC2025xyndwy,2025-12-06T03:00:55.869999Z,7.283,-73.13316667,151.73,2025-12-06T03:01:05.673032+00:00,7.271857,-73.210787,49.632812,0.107026,7,164.424,20.276784754985194,33.41825848245237,loc\sgc62.20251206.030114.93.grid0.loc.hyp,7.283,-73.13316667,151.73,2.0
46,SGC2025xyrfux,2025-12-06T05:03:23.920000Z,7.556833333,-73.98116667,84.33,2025-12-06T05:03:24.932526+00:00,7.43158,-73.955687,76.371094,0.147643,8,243.819,13.759033396281877,17.045527272572123,loc\sgc62.20251206.050335.91.grid0.loc.hyp,7.556833333,-73.98116667,84.33,1.9
47,SGC2025ycdafx,2025-12-08T02:12:20.912374Z,6.746158809,-73.12745924,143.2421875,2025-12-08T02:12:21.118858+00:00,6.744256,-73.11999,150.226562,0.186861,9,164.105,11.370707981475912,22.506243578171812,loc\sgc62.20251208.021241.21.grid0.loc.hyp,6.746158809,-73.12745924,143.2421875,2.9
48,SGC2025yshmnq,2025-12-16T21:38:58.780000Z,7.430333333,-73.19233333,140.25,2025-12-16T21:39:07.297284+00:00,7.258461,-73.216447,47.753906,0.12027,8,159.858,8.120898965016126,43.649971363106296,loc\sgc62.20251216.213916.25.grid0.loc.hyp,7.430333333,-73.19233333,140.25,2.5
49,SGC2025yuczzx,2025-12-17T21:32:41.869999Z,6.544,-73.68766667,104.45,2025-12-17T21:32:39.905492+00:00,6.441297,-73.746653,110.046875,0.161458,8,202.194,12.284054705185905,19.409379176058156,loc\sgc62.20251217.213255.66.grid0.loc.hyp,6.544,-73.68766667,104.45,2.6
50,SGC2025yxrhgz,2025-12-19T19:56:58.990000Z,7.457166667,-73.291,51.5,2025-12-19T19:56:59.195493+00:00,7.448068,-73.298167,32.722656,0.16802,8,196.724,8.353131149455274,16.328073983173887,loc\sgc62.20251219.195709.60.grid0.loc.hyp,7.457166667,-73.291,51.5,1.7
51,SGC2025yymqxd,2025-12-20T06:41:46.359999Z,7.077666667,-74.04,78.19,2025-12-20T06:41:46.446288+00:00,7.06061,-74.063643,70.878906,0.186188,7,178.627,14.66144604055139,15.846955543573662,loc\sgc62.20251220.064157.67.grid0.loc.hyp,7.077666667,-74.04,78.19,1.4
52,SGC2025zqwcsx,2025-12-30T06:47:36.090000Z,6.339333333,-73.59033333,117.92,2025-12-30T06:47:41.021503+00:00,6.583502,-73.509226,78.539062,0.130993,8,178.087,13.647856974631585,23.026593321635747,loc\sgc62.20251230.064752.82.grid0.loc.hyp,6.339333333,-73.59033333,117.92,3.3
53,SGC2026afswai,2026-01-04T02:51:01.149999Z,6.474166667,-74.1985,71.49,2026-01-04T02:50:59.732863+00:00,6.406261,-74.233023,76.226562,0.175979,7,219.491,17.71634838221466,16.352033512685814,loc\sgc62.20260104.025111.19.grid0.loc.hyp,6.474166667,-74.1985,71.49,2.3
54,SGC2026akeapz,2026-01-06T12:46:06.969999Z,7.483833333,-73.18666667,137.94,2026-01-06T12:46:08.747101+00:00,7.313076,-73.188139,119.585938,0.189165,8,170.26,7.724143965514884,24.39514295920399,loc\sgc62.20260106.124625.64.grid0.loc.hyp,7.483833333,-73.18666667,137.94,2.6
55,SGC2026alqild,2026-01-07T08:01:46.179999Z,7.4355,-73.19133333,136.47,2026-01-07T08:01:46.727276+00:00,7.331624,-73.18588,129.703125,0.185681,8,173.9,8.280326080535717,24.17157421435352,loc\sgc62.20260107.080204.89.grid0.loc.hyp,7.4355,-73.19133333,136.47,3.2
56,SGC2026apmkrl,2026-01-09T10:21:33.170000Z,6.384666667,-73.63316667,107.49,2026-01-09T10:21:37.345612+00:00,6.604112,-73.563566,73.914062,0.0970245,8,173.322,13.541270250607955,21.02087058140076,loc\sgc62.20260109.102148.39.grid0.loc.hyp,6.384666667,-73.63316667,107.49,2.2
57,SGC2026arcexx,2026-01-10T07:22:07.759999Z,6.976833333,-73.77016667,90.0,2026-01-10T07:22:06.468777+00:00,6.903979,-73.820962,93.425781,0.149303,8,116.792,8.804964508730288,16.651216171799582,loc\sgc62.20260110.072219.36.grid0.loc.hyp,6.976833333,-73.77016667,90.0,1.6
58,SGC2026asvptr,2026-01-11T06:12:26.089999Z,6.507833333,-73.70216667,99.06,2026-01-11T06:12:23.826114+00:00,6.451602,-73.74893,111.492188,0.200967,8,200.356,12.963795740445775,21.018325337666653,loc\sgc62.20260111.061239.74.grid0.loc.hyp,6.507833333,-73.70216667,99.06,1.8
59,SGC2026baehdu,2026-01-15T06:05:20.579999Z,7.7865,-74.16983333,64.85,2026-01-15T06:05:21.037901+00:00,7.677863,-74.129782,64.953125,0.241148,8,266.109,20.706279240848655,29.773746825013475,loc\sgc62.20260115.060532.48.grid0.loc.hyp,7.7865,-74.16983333,64.85,1.9
60,SGC2026boggwn,2026-01-22T22:08:01.470000Z,7.711,-73.73683333,44.87,2026-01-22T22:08:01.256060+00:00,7.619126,-73.758755,53.824219,0.157532,8,250.508,11.25188873034212,16.30248447323291,loc\sgc62.20260122.220810.38.grid0.loc.hyp,7.711,-73.73683333,44.87,2.3
61,SGC2026cjxroc,2026-02-03T17:27:11.980784Z,6.752508755,-73.1467329,141.1328125,2026-02-03T17:27:16.393518+00:00,6.867912,-73.151725,112.648438,0.119534,8,141.573,11.622091033888868,25.98676586264632,loc\sgc62.20260203.172732.15.grid0.loc.hyp,6.752508755,-73.1467329,141.1328125,3.5
62,SGC2026cmuvbi,2026-02-05T07:14:18.000000Z,7.6555,-73.80266667,86.33,2026-02-05T07:14:17.962685+00:00,7.54081,-73.824387,88.800781,0.139702,8,246.618,10.770376038003501,19.130629890309415,loc\sgc62.20260205.071430.66.grid0.loc.hyp,7.6555,-73.80266667,86.33,1.9
