dataset,event_id,huber_delta_s,rms_change_s,depth_change_km,horizontal_shift_change_km
new30,SGC2025ycdafx,0.5,-1.0269562977782698e-15,0.0,-5.289556916920901e-07
new30,SGC2025ycdafx,1.5,-1.27675647831893e-15,0.0,-5.260670761231268e-07
new30,SGC2025yshmnq,0.5,0.006751124911460571,0.0,-0.7108229094825766
new30,SGC2025yshmnq,1.5,-3.4416913763379853e-15,0.0,2.510510554998291e-08
new30,SGC2025yuczzx,0.5,1.942890293094024e-16,-1.656507620850789e-06,-2.005559490703135e-07
new30,SGC2025yuczzx,1.5,-1.4155343563970746e-15,-6.787156792142923e-07,1.7269340280012813e-07
new30,SGC2025yxrhgz,0.5,0.012157280918819402,0.0,-1.0189661622170956
new30,SGC2025yxrhgz,1.5,-4.2524009049582645e-06,0.0,0.01474737210046495
new30,SGC2025yymqxd,0.5,0.0012861776112389478,-1.2211058209258994,0.1793727779166181
new30,SGC2025yymqxd,1.5,2.886579864025407e-15,6.332703890166158e-07,-9.36862587508358e-08
new30,SGC2025zqwcsx,0.5,-1.1934897514720433e-15,-2.414222507240993e-06,1.1968316542265711e-06
new30,SGC2025zqwcsx,1.5,4.274358644806853e-15,-3.890039636189613e-06,-4.672907127911685e-07
new30,SGC2026afswai,0.5,-1.82068249365841e-12,2.2205408654940584e-05,6.479177141471837e-07
new30,SGC2026afswai,1.5,3.9288017283922727e-13,4.135491215606635e-05,1.2970659678757102e-05
new30,SGC2026akeapz,0.5,1.1102230246251565e-15,0.0,4.3381638903383646e-07
new30,SGC2026akeapz,1.5,3.0253577421035516e-15,0.0,-7.313358629801314e-07
new30,SGC2026apmkrl,0.5,4.9960036108132044e-15,-1.584748588356888e-06,1.2215678575344668e-06
new30,SGC2026apmkrl,1.5,5.9119376061289586e-15,-1.7998744681335666e-06,1.4084263977309774e-06
new30,SGC2026arcexx,0.5,0.0006993467447242163,0.0,-0.29017243151688454
new30,SGC2026arcexx,1.5,-1.4414978655175048e-09,0.0,0.00021768434196545172
new30,SGC2026asvptr,0.5,-2.6645352591003757e-15,-1.4670904420199804e-06,2.6513545909878644e-06
new30,SGC2026asvptr,1.5,0.0,0.0,0.0
new30,SGC2026baehdu,0.5,0.03422782854731188,-4.582447585602338,5.811924819841778
new30,SGC2026baehdu,1.5,-0.0004944702064155759,0.5696609177319942,-0.8021363293785342
new30,SGC2026boggwn,0.5,3.969047313034935e-15,1.0191148689386864e-06,-2.062829970839175e-06
new30,SGC2026boggwn,1.5,-1.1379786002407855e-15,3.028412578487405e-07,-7.992558117564386e-07
new30,SGC2026cmuvbi,0.5,5.2735593669694936e-15,1.5193259628176747e-06,4.0953047175662505e-07
new30,SGC2026cmuvbi,1.5,8.326672684688674e-17,0.0,0.0
stratified32,SGC2018hxdw,0.5,0.017227378182122055,-3.9032508211486743,3.4116054888242484
stratified32,SGC2018hxdw,1.5,-4.744034165504729e-09,-0.0007629595598075412,-0.0004346466194853349
stratified32,SGC2018uupq,0.5,-1.4988010832439613e-15,2.264462878542872e-06,-7.246400457461277e-08
stratified32,SGC2018uupq,1.5,4.996003610813204e-16,-2.2246874067377576e-06,3.780808857101192e-07
stratified32,SGC2019ioilw,0.5,0.005699938657600823,0.9973647647205928,-0.030225798069162035
stratified32,SGC2019ioilw,1.5,1.6653345369377348e-16,7.33727217649971e-07,6.562517400610091e-07
stratified32,SGC2019mwyzm,0.5,0.0006617179704997977,0.2725229162503098,0.0121348510674113
stratified32,SGC2019mwyzm,1.5,-3.774758283725532e-15,4.918882723359275e-07,1.3951943822476665e-07
stratified32,SGC2019nhquk,0.5,0.015094680672845029,-0.6579458867446633,-3.595434665394232
stratified32,SGC2019nhquk,1.5,-0.0004798477345843155,0.24848759944227083,-0.14713858193909068
stratified32,SGC2019pdbii,0.5,0.09527441546820498,-3.371475876000545,7.135292445154331
stratified32,SGC2019pdbii,1.5,-1.4432899320127035e-15,0.0,9.320431431092402e-07
stratified32,SGC2019pxebo,0.5,0.01718208968735191,0.0,2.1839117187149673
stratified32,SGC2019pxebo,1.5,-0.0027868536893279616,0.0,-0.5033554487193067
stratified32,SGC2019qdhsi,0.5,0.01624967293140389,5.636805394747604,0.4343892991430347
stratified32,SGC2019qdhsi,1.5,-5.10702591327572e-15,-6.505936351430819e-06,-1.7908193452598198e-06
stratified32,SGC2019tgdbei,0.5,0.0005003825649373961,0.9446700288242553,-0.20792722372936012
stratified32,SGC2019tgdbei,1.5,1.8318679906315083e-15,5.687273485932565e-06,-5.92017620704155e-07
stratified32,SGC2019uqtpny,0.5,0.05112280781678796,8.927948275297652,-0.22486001281459922
stratified32,SGC2019uqtpny,1.5,-2.292418199711932e-09,-0.0034308627102390687,-0.00024178192056867331
stratified32,SGC2019vrkvej,0.5,0.006003832394218589,0.0,-3.74577692389841
stratified32,SGC2019vrkvej,1.5,-3.546072074867013e-08,0.0,0.00553095729260189
stratified32,SGC2019wbnvco,0.5,0.0007227419942825164,0.0,-0.4063394319900171
stratified32,SGC2019wbnvco,1.5,-3.885780586188048e-16,0.0,-4.3690173034960367e-07
stratified32,SGC2019wbptlu,0.5,0.00011840836731080717,0.1468658961892686,-0.38100806476345683
stratified32,SGC2019wbptlu,1.5,-3.3306690738754696e-16,-4.3640043045911625e-07,1.426417108874034e-07
stratified32,SGC2019wccpcd,0.5,0.008397136272046635,-1.888581227993571,0.6416925286985666
stratified32,SGC2019wccpcd,1.5,-0.0008083088197610167,0.39672807899047235,-0.1689313573429665
stratified32,SGC2020agjggo,0.5,0.008666307887558455,-2.567240042494319,2.0434063819660064
stratified32,SGC2020agjggo,1.5,4.368152367595357e-08,-0.014758624423421907,0.004535242410668161
stratified32,SGC2020dtzpwj,0.5,0.01891509002951952,-0.03340546750581552,2.564960922349934
stratified32,SGC2020dtzpwj,1.5,-3.497202527569243e-15,0.0,-1.3396167513057833e-06
stratified32,SGC2020gerodj,0.5,0.0008762816060672862,0.0,-0.6460351647690814
stratified32,SGC2020gerodj,1.5,-2.942091015256665e-15,0.0,4.893893006396866e-07
stratified32,SGC2022kyajix,0.5,-1.0685896612017132e-15,8.843104950528868e-07,-9.412453714219282e-07
stratified32,SGC2022kyajix,1.5,8.326672684688674e-17,0.0,0.0
stratified32,SGC2022lnpqkc,0.5,1.1102230246251565e-16,-5.888039424917224e-07,5.061178995902083e-07
stratified32,SGC2022lnpqkc,1.5,-2.275957200481571e-15,8.416056118676352e-07,-7.427493997624879e-08
