dataset,event_id,seed,relocated_rms_s,delta_horizontal_km,delta_depth_km,relocated_x_km,relocated_y_km,relocated_depth_km,origin_shift_s,depth_boundary,evaluations,elapsed_s,seed_offset,reported_seed,qc_excursion
stratified32,SGC2019wbnvco,1821868062,0.308988863331604,3.4350667875704572,20.000000000000014,-56.55138876181614,-44.807343905278856,130.61,-2.3734094116871773,True,9030,1.4330762000754476,2,False,1.3333333333333341
stratified32,SGC2019wbnvco,1822868065,0.30898886333159886,3.4350666685592572,20.000000000000014,-56.55138721954634,-44.80734456555543,130.61,-2.373409430368394,True,9030,1.3895894000306726,3,False,1.3333333333333341
stratified32,SGC2019wbnvco,1823868068,0.3089888633316011,3.435067260526492,20.000000000000014,-56.551387290094304,-44.80734391462607,130.61,-2.3734094188028863,True,9030,2.039007800165564,4,False,1.3333333333333341
stratified32,SGC2019wbnvco,1824868071,0.308988863331606,3.4350676682121466,20.000000000000014,-56.55138653148635,-44.8073437459891,130.61,-2.3734094194776603,True,9030,1.9131752997636795,5,False,1.3333333333333341
stratified32,SGC2019wbnvco,1825868074,0.3089888633316046,3.435067589885923,20.000000000000014,-56.551387140353675,-44.80734361793832,130.61,-2.3734094143909577,True,9030,1.63306919997558,6,False,1.3333333333333341
stratified32,SGC2019wbnvco,1826868077,0.3089888633316004,3.4350656518481912,20.000000000000014,-56.55138708805398,-44.80734568711201,130.61,-2.3734094503428107,True,9030,2.0478940000757575,7,False,1.3333333333333341
stratified32,SGC2019wbnvco,1827868080,0.3089888633315992,3.435066162788931,20.000000000000014,-56.551387075348536,-44.80734515077764,130.61,-2.3734094411481053,True,9030,1.5369513998739421,8,False,1.3333333333333341
stratified32,SGC2019wbnvco,1828868083,0.3089888633315966,3.4350666833367143,20.000000000000014,-56.55138750286804,-44.80734445175828,130.61,-2.3734094270659636,True,9030,1.3775475001893938,9,False,1.3333333333333341
stratified32,SGC2020gerodj,4175855999,0.31307965380786545,5.2493643044173695,20.000000000000014,-46.65299408717496,-41.689588862083276,141.67000000000002,-2.4939385614209684,True,9030,1.4138262001797557,0,True,1.3333333333333341
stratified32,SGC2020gerodj,4176856002,0.31307965380786623,5.24936569781839,20.000000000000014,-46.65299392439694,-41.68958679489632,141.67000000000002,-2.493938423119186,True,9030,1.8754484001547098,1,False,1.3333333333333341
stratified32,SGC2020gerodj,4177856005,0.3130796538078688,5.249363181813356,20.000000000000014,-46.65299364803969,-41.68958999054157,141.67000000000002,-2.493938605138954,True,9030,1.3940313998609781,2,False,1.3333333333333341
stratified32,SGC2020gerodj,4178856008,0.31307965380786257,5.249364761573233,20.000000000000014,-46.65299348185861,-41.68958766417609,141.67000000000002,-2.4939384505208118,True,9030,1.356893999967724,3,False,1.3333333333333341
stratified32,SGC2020gerodj,4179856011,0.31307965380786884,5.249363651465238,20.000000000000014,-46.652993907617585,-41.68958958987338,141.67000000000002,-2.493938595855731,True,9030,1.3520843996666372,4,False,1.3333333333333341
stratified32,SGC2020gerodj,4180856014,0.3130796538078631,5.2493643687534055,20.000000000000014,-46.65299393288171,-41.689588628428375,141.67000000000002,-2.49393853760926,True,9030,1.8935378999449313,5,False,1.3333333333333341
stratified32,SGC2020gerodj,4181856017,0.3130796538078607,5.249364367537533,20.000000000000014,-46.65299340455182,-41.68958813261169,141.67000000000002,-2.493938474987516,True,9030,1.3950089002028108,6,False,1.3333333333333341
stratified32,SGC2020gerodj,4182856020,0.31307965380786945,5.249363757559892,20.000000000000014,-46.652992626355726,-41.68958823768294,141.67000000000002,-2.4939384346799542,True,9030,1.7977964002639055,7,False,1.3333333333333341
stratified32,SGC2020gerodj,4183856023,0.3130796538078658,5.249363860340446,20.000000000000014,-46.65299285098141,-41.68958830802061,141.67000000000002,-2.4939384525725075,True,9030,1.5245370003394783,8,False,1.3333333333333341
stratified32,SGC2020gerodj,4184856026,0.31307965380786584,5.249364353666217,20.000000000000014,-46.65299408704639,-41.68958879431624,141.67000000000002,-2.493938557200572,True,9030,1.3471519998274744,9,False,1.3333333333333341
new30,SGC2023vzpirs,994664493,0.43103532231306035,11.034723664096727,20.000000000000004,-119.16057615101835,37.14907310867846,45.730000000000004,-0.015829875791476766,True,9030,1.2833231999538839,0,True,1.3333333333333335
new30,SGC2023vzpirs,995664496,0.43103532296765434,11.0329191432633,20.000000000000004,-119.16148313565115,37.15086693975286,45.730000000000004,-0.01596946542388622,True,9030,1.5458125998266041,1,False,1.3333333333333335
new30,SGC2023vzpirs,996664499,0.43103532185031596,11.032838520063343,20.000000000000004,-119.161524692819,37.15094707471597,45.730000000000004,-0.015975634907579916,True,9030,2.309794799890369,2,False,1.3333333333333335
new30,SGC2023vzpirs,997664502,0.43103532166944475,11.033826546087973,20.000000000000004,-119.16102810098185,37.14996489095435,45.730000000000004,-0.01589925452552876,True,9030,1.3560922998003662,3,False,1.3333333333333335
new30,SGC2023vzpirs,998664505,0.4310353221018677,11.03390754373787,20.000000000000004,-119.16098552754333,37.1498843954245,45.730000000000004,-0.01589304164672356,True,9030,1.3412556000985205,4,False,1.3333333333333335
new30,SGC2023vzpirs,999664508,0.43103532282953266,11.035040523249098,20.000000000000004,-119.16041637349453,37.14875814010703,45.730000000000004,-0.015805367390024472,True,9030,1.8627645000815392,5,False,1.3333333333333335
new30,SGC2023vzpirs,1000664511,0.4310353242181496,11.032584459932428,20.000000000000004,-119.16165135283123,37.151199648283296,45.730000000000004,-0.015995362474402697,True,9030,1.3657672996632755,6,False,1.3333333333333335
new30,SGC2023vzpirs,1001664514,0.43103532188511323,11.034163416406024,20.000000000000004,-119.16085854872867,37.149630020284,45.730000000000004,-0.015873206979424737,True,9030,1.2844441002234817,7,False,1.3333333333333335
new30,SGC2023vzpirs,1002664517,0.43103532175706466,11.034611063638865,20.000000000000004,-119.16063230073406,37.149185045353136,45.730000000000004,-0.015838582654080113,True,9030,1.3440598999150097,8,False,1.3333333333333335
new30,SGC2023vzpirs,1003664520,0.43103532079494444,11.03365793478674,20.000000000000004,-119.16111214416664,37.15013251211255,45.730000000000004,-0.01591227794126837,True,9030,1.7796787996776402,9,False,1.3333333333333335
new30,SGC2025yxrhgz,958740394,0.5307312173714591,6.187071826577473,-20.0,-38.307582803354414,51.521692177987994,31.5,-0.14261462860005203,True,9030,1.375609700102359,0,True,1.3333333333333333
new30,SGC2025yxrhgz,959740397,0.5307312176626585,6.18707139181202,-20.0,-38.30758226464332,51.521693171480926,31.5,-0.1426146854991508,True,9030,1.2955470997840166,1,False,1.3333333333333333
new30,SGC2025yxrhgz,960740400,0.5307312175402722,6.187071910649534,-20.0,-38.3075827226432,51.52169379242185,31.5,-0.1426147464061822,True,9030,1.2727556000463665,2,False,1.3333333333333333
new30,SGC2025yxrhgz,961740403,0.5307312176330391,6.187071506984695,-20.0,-38.307582368325264,51.5216932896381,31.5,-0.1426146976161755,True,9030,1.7558594001457095,3,False,1.3333333333333333
new30,SGC2025yxrhgz,962740406,0.5307312174905261,6.187071189514855,-20.0,-38.30758226662391,51.52169116509935,31.5,-0.14261453595656626,True,9030,1.4367287000641227,4,False,1.3333333333333333
new30,SGC2025yxrhgz,963740409,0.5307312175862042,6.187071480002946,-20.0,-38.307582388196835,51.521692830444344,31.5,-0.14261466401015976,True,9030,1.3476693001575768,5,False,1.3333333333333333
new30,SGC2025yxrhgz,964740412,0.530731217659537,6.187071943251857,-20.0,-38.30758264716425,51.52169485017552,31.5,-0.14261482287034877,True,9030,1.2909997999668121,6,False,1.3333333333333333
