dataset,event_id,rms_min,rms_max,lat_min,lat_max,lon_min,lon_max,depth_min_km,depth_max_km,boundary_methods,dh25_methods,rms_range_s,depth_range_km,horizontal_range_km,within_1m,within_100m
new30,SGC2026akeapz,0.2222535088599937,0.2222535088600006,7.300110920062098,7.300110940335928,-73.25822057455183,-73.25822056808371,117.94,117.94,4,0,6.8833827526759706e-15,0.0,2.367332633693261e-06,True,True
new30,SGC2026apmkrl,0.1298560563266184,0.129856056326625,6.443747204915525,6.443747214840301,-73.64935148692405,-73.64935148325664,118.10153769680863,118.10153920921437,0,0,6.6058269965196814e-15,1.5124057313187222e-06,1.176791528053965e-06,True,True
new30,SGC2026arcexx,0.2821015612360604,0.2821015798561519,6.882674582344043,6.882698541837868,-73.77688558390632,-73.77687026777966,110.0,110.0,4,0,1.8620091524201854e-08,0.0,0.003158737141596388,False,True
new30,SGC2026asvptr,0.2086506156109003,0.2086506156109079,6.543863577457706,6.543863606218864,-73.6976950759169,-73.69769507247847,117.5733564299354,117.57336134894337,0,0,7.605027718682322e-15,4.91900796362188e-06,3.22415365115046e-06,True,True
new30,SGC2026baehdu,0.5014776576991576,0.5014776601082573,7.517050951126679,7.517050965923601,-74.04952392756387,-74.0495239104409,73.24537394104026,73.24537526879587,0,4,2.4090996975090206e-09,1.3277556121238376e-06,2.5085078639305767e-06,True,True
new30,SGC2026boggwn,0.1665381440258968,0.1665381440259025,7.536419441577786,7.536419459196106,-73.7608823371023,-73.76088233170792,62.573793299526336,62.57379462712396,0,0,5.689893001203927e-15,1.3275976229465414e-06,2.049837302228153e-06,True,True
new30,SGC2026cmuvbi,0.1458963413385684,0.1458963413385757,7.408524912210321,7.408524920042094,-73.7689516244169,-73.76895162146839,94.94076941424134,94.94077157511282,0,4,7.299716386910404e-15,2.1608714746435e-06,9.307128077704772e-07,True,True
stratified32,SGC2018hxdw,0.4010435512637034,0.4010435607804335,7.378821187875644,7.378835784801661,-73.22374300371098,-73.22370931383456,149.8760475194457,149.8824847588626,0,0,9.516730126168937e-09,0.006437239416897,0.004061610132564811,False,True
stratified32,SGC2018uupq,0.2948349737694778,0.2948349737694853,7.379696622919936,7.379696639549008,-73.7442733351212,-73.7442733299002,67.76304643012284,67.76304859090916,0,0,7.494005416219807e-15,2.1607863232020463e-06,1.9389506608347604e-06,True,True
stratified32,SGC2019ioilw,0.4050920236597111,0.4050920236597195,6.902911703949137,6.902911707019182,-73.49603563694308,-73.49603563230963,5.730852112496782,5.73085366158145,0,0,8.43769498715119e-15,1.549084667651357e-06,6.155419511619233e-07,True,True
stratified32,SGC2019mwyzm,0.3386734357475333,0.3386734357475363,6.714221341685244,6.714221348440154,-73.39711071010933,-73.39711070177556,35.237534332238816,35.237536610649634,0,0,2.9976021664879227e-15,2.2784108182349883e-06,1.188828007776225e-06,True,True
