dataset,event_id,method,huber_delta_s,objective_s,relocated_rms_s,origin_shift_s,relocated_depth_km,delta_horizontal_km,delta_depth_km,depth_boundary
stratified32,SGC2022kyajix,HSSO-E,0.5,0.10853732315785643,0.10853732315785643,1.2232412373311483,47.83071981971391,16.285003293904246,-7.359280180286085,False
stratified32,SGC2022oormtr,HSSO-E,0.5,0.39772706777264977,0.4295768410007675,1.0871494987723667,49.02093077793445,12.471514454972713,-19.119069222065548,False
stratified32,SGC2022metnph,HSSO-E,0.5,0.1951092907819317,0.1951092907819317,-0.45082577815040104,65.71772250717163,14.938046938890897,-0.0022774928283695317,False
stratified32,SGC2022omvgfe,HSSO-E,0.5,0.08652598202366074,0.08652598202366074,-0.17065051976065782,77.86952987227775,7.139777445949449,-0.29047012772224434,False
stratified32,SGC2022mdzfra,HSSO-E,0.5,0.6394689751905782,0.8537812839515744,-1.8063538294479962,96.49284614761557,6.847103367019454,18.542846147615563,False
stratified32,SGC2019pdbii,HSSO-E,0.5,0.4274248259784726,0.5776246255011517,-1.4086528491687735,104.00852412399945,17.530389259849553,16.628524123999455,False
stratified32,SGC2022lnpqkc,HSSO-E,0.5,0.22404995282069942,0.22404995282069942,0.354231227264,91.4216625071674,31.71248636557138,8.951662507167399,False
stratified32,SGC2019pxebo,HSSO-E,0.5,0.4292991071132282,0.5387416370335445,-2.1533108583253604,110.59,3.52354597631773,20.0,True
stratified32,SGC2019vrkvej,HSSO-E,0.5,0.36324504111075256,0.4220135437072281,-2.656525767096438,111.05,2.8787751575044846,20.0,True
stratified32,SGC2022ofpwob,HSSO-E,0.5,0.1468228678066534,0.1468228678066534,-1.820747011210063,124.17191756808862,5.523565614086669,14.481917568088619,False
stratified32,SGC2020dtzpwj,HSSO-E,0.5,0.3555345590155175,0.4077633250874913,-2.204864899312632,129.6365945324942,5.740819450244921,19.9665945324942,True
stratified32,SGC2019wbnvco,HSSO-E,0.5,0.30634419577563043,0.3097116053258808,-2.3800877421965296,130.61,3.028727153190716,20.000000000000014,True
stratified32,SGC2022razkne,HSSO-E,0.5,0.15084436880323498,0.15084436880323498,-0.3240782381886014,116.26392398861685,7.2162849983973585,3.4739239886168463,False
stratified32,SGC2020gerodj,HSSO-E,0.5,0.30694076595892994,0.3139559354139327,-2.5105053124043373,141.67000000000002,4.603329139648288,20.000000000000014,True
stratified32,SGC2020agjggo,HSSO-E,0.5,0.33989383137827206,0.35926490856941734,-0.5702887092843021,129.33117655006475,12.136120296617271,6.011176550064761,False
stratified32,SGC2026alqild,HSSO-E,0.5,0.2514884359905488,0.2514884359905488,1.7700321062976094,122.31668407595846,16.65823680332167,-14.153315924041536,False
stratified32,SGC2018hxdw,HSSO-E,0.5,0.3789242826419982,0.41827093896255557,-0.9650205517761687,145.97763030415396,11.557208613064015,13.537630304153964,False
stratified32,SGC2026cjxroc,HSSO-E,0.5,0.16053363550976893,0.16053363550976893,-0.19829849420231938,161.1328125,10.332942560194667,20.0,True
stratified32,SGC2023tnjthq,HSSO-E,0.5,0.23877471770346495,0.23877471770346495,-1.389193840949389,169.53,2.634915504768328,20.0,True
stratified32,SGC2024clkrqm,HSSO-E,0.5,0.10223078819836526,0.10223078819836526,-1.3278400331846605,170.3,6.09044667392701,20.0,True
stratified32,SGC2024bkjqkz,HSSO-E,0.5,0.3359632488868037,0.3392924985706099,-1.416120522498078,170.91,4.975985900762146,20.0,True
new30,SGC2023vzpirs,HSSO-E,0.5,0.40154394536190674,0.45141560260803487,0.2618303516984124,45.730000000000004,14.807842543640776,20.000000000000004,True
