dataset,event_id,method,terminal_objective_s,target_objective_s,reached_objective_s,iterations,evaluations,elapsed_s,full_elapsed_s,time_fraction
stratified32,SGC2018uupq,HSSO-no-helix,0.294834973769483,0.29493497376948297,0.2948609315182178,24,750,0.15630170004442334,1.4287136001512408,0.10940030250140935
stratified32,SGC2018uupq,HSSO-E,0.2948349737694853,0.2949349737694853,0.2948497032808504,23,720,0.16856960020959377,1.5964552001096308,0.10558993462392045
stratified32,SGC2019uqtpny,PSO,0.4873800056124726,0.48748000561247257,0.48746323959723825,63,1920,0.1353528997860849,1.3488163999281824,0.10034938765075198
stratified32,SGC2019uqtpny,LPSO,0.4873800079866109,0.4874800079866109,0.4874506204616485,96,2910,0.2682301001623273,1.23734480002895,0.2167787832106714
stratified32,SGC2019uqtpny,HSSO-no-helix,0.4873800433523513,0.4874800433523513,0.4874626227452921,21,660,0.08616260020062327,2.280321999918669,0.03778527778256596
stratified32,SGC2019uqtpny,HSSO-E,0.4873800084909586,0.48748000849095857,0.48743465379490175,35,1080,0.21267729997634888,1.8485857001505792,0.11504865582321931
stratified32,SGC2022pdaiuz,PSO,0.9698678077687584,0.9699678077687583,0.9699192988540883,55,1680,0.11468839971348643,1.0286556999199092,0.11149347611879858
stratified32,SGC2022pdaiuz,LPSO,0.9698678077687576,0.9699678077687576,0.9699659122046376,50,1530,0.1262553003616631,1.1052765999920666,0.11422959679284744
stratified32,SGC2022pdaiuz,HSSO-no-helix,0.9698678077687626,0.9699678077687626,0.9699581563414116,10,330,0.04182119993492961,1.7113430998288095,0.02443764779786888
stratified32,SGC2022pdaiuz,HSSO-E,0.9698678077687624,0.9699678077687623,0.9699274295299444,16,510,0.06955099990591407,1.575968900229782,0.04413221599472761
stratified32,SGC2022kyajix,PSO,0.1085373231578592,0.1086373231578592,0.10861678999008781,55,1680,0.07280190009623766,0.6441183998249471,0.11302564888073859
stratified32,SGC2022kyajix,LPSO,0.1085373231578518,0.10863732315785181,0.10856766357486558,76,2310,0.16266270028427243,1.2525531998835504,0.12986490338246323
stratified32,SGC2022kyajix,HSSO-no-helix,0.1085373231578558,0.1086373231578558,0.10856693082723846,16,510,0.059211499989032745,1.887618400156498,0.03136836342775831
stratified32,SGC2022kyajix,HSSO-E,0.1085373231578575,0.1086373231578575,0.10855066114805888,16,510,0.07025540014728904,1.4223779998719692,0.049392918164941284
stratified32,SGC2022oormtr,PSO,0.4212483360962178,0.4213483360962178,0.42133466961526406,50,1530,0.14966159965842962,1.0541563997976482,0.14197286065631068
stratified32,SGC2022oormtr,LPSO,0.4212483360962189,0.4213483360962189,0.4212627310841394,64,1950,0.20647990005090833,1.3404517001472414,0.15403755318317522
stratified32,SGC2022oormtr,HSSO-no-helix,0.4212483360962181,0.4213483360962181,0.42133683176258374,13,420,0.06537109985947609,2.3823530999943614,0.027439719099419314
stratified32,SGC2022oormtr,HSSO-E,0.4212483360962188,0.4213483360962188,0.4212934035055602,25,780,0.1316694002598524,1.897709300275892,0.06938333507703741
stratified32,SGC2022metnph,PSO,0.1951092907819289,0.1952092907819289,0.19517098309300088,82,2490,0.2741914000362158,0.608320000115782,0.45073546814839016
stratified32,SGC2022metnph,LPSO,0.1951092907819331,0.19520929078193308,0.1951919663600763,79,2400,0.3082308997400105,0.9120350000448524,0.337959507831226
stratified32,SGC2022metnph,HSSO-no-helix,0.1951092907819319,0.1952092907819319,0.1951916032604518,19,600,0.1062130001373589,1.5185960000380874,0.06994157770380997
stratified32,SGC2022metnph,HSSO-E,0.1951092907819257,0.1952092907819257,0.19518369388637338,43,1320,0.2544247000478208,1.5844832002185285,0.16057267127397193
stratified32,SGC2022omvgfe,PSO,0.086525982023661,0.08662598202366101,0.08656929871724794,92,2790,0.29289969988167286,0.6427343999966979,0.4557087653674327
stratified32,SGC2022omvgfe,LPSO,0.0865259820236626,0.0866259820236626,0.08660490504136194,102,3090,0.4646898997016251,1.4793711001984775,0.31411313877855307
stratified32,SGC2022omvgfe,HSSO-no-helix,0.0865259820236673,0.08662598202366731,0.086593577814828,24,750,0.161691399756819,1.728885699994862,0.09352347570304938
stratified32,SGC2022omvgfe,HSSO-E,0.0865259820236608,0.0866259820236608,0.08660367213912464,63,1920,0.3806138997897506,1.5907638003118336,0.2392648737135832
stratified32,SGC2022mdzfra,PSO,0.7855666696382623,0.7856666696382623,0.7856453499276876,40,1230,0.09547730023041368,0.7447854001075029,0.12819437681865462
stratified32,SGC2022mdzfra,LPSO,0.7855666696382643,0.7856666696382643,0.7856085179089721,58,1770,0.21452470030635595,1.452000199817121,0.14774426362570423
stratified32,SGC2022mdzfra,HSSO-no-helix,0.785566669638264,0.785666669638264,0.7856335045677868,7,240,0.03241299977526069,1.8550529000349345,0.017472816960988166
stratified32,SGC2022mdzfra,HSSO-E,0.7855666696382694,0.7856666696382694,0.78560878364836,14,450,0.06814659992232919,1.6351339002139866,0.04167646448612617
stratified32,SGC2019pdbii,PSO,0.4823502100329444,0.4824502100329444,0.4824133837691442,29,900,0.06588710006326437,0.7035035002045333,0.09365568194629971
stratified32,SGC2019pdbii,LPSO,0.4823502100329488,0.4824502100329488,0.48243181080254727,32,990,0.093518799636513,1.490893000271171,0.062726701124429
stratified32,SGC2019pdbii,HSSO-no-helix,0.4823502100329477,0.4824502100329477,0.48242641027544936,12,390,0.05669189989566803,2.090887399856001,0.027113798619462906
stratified32,SGC2019pdbii,HSSO-E,0.4823502100329467,0.4824502100329467,0.4823906007525191,16,510,0.07876170007511973,1.4422587002627552,0.054609967033494536
stratified32,SGC2022lnpqkc,PSO,0.2240499528206966,0.22414995282069658,0.2241090543841417,69,2100,0.1490310998633504,0.8716938998550177,0.17096723963324467
