dataset,event_id,method,seed,evaluations,optimizer_elapsed_s,n_stations,sgc_lat,sgc_lon,sgc_depth_km,relocated_lat,relocated_lon,relocated_depth_km,origin_shift_s,sgc_model_rms_s,relocated_rms_s,huber_objective_s,rms_reduction_s,delta_horizontal_km,delta_depth_km,depth_lower_km,depth_upper_km,depth_boundary,large_horizontal_shift,large_vertical_shift
stratified32,SGC2024clkrqm,HSSO-no-helix,108408146,9030,1.645315000321716,7,6.796333333,-73.125,150.3,6.7994761808977495,-73.18003101563639,170.3,-1.3278400539351907,0.27562587912632913,0.10223078819836677,0.10223078819836677,0.17339509092796235,6.090447090858077,20.0,130.3,170.3,True,False,True
stratified32,SGC2024clkrqm,HSSO-E,108408146,9030,1.2931419000960886,7,6.796333333,-73.125,150.3,6.799476176972463,-73.18003101033683,170.3,-1.3278400220106938,0.27562587912632913,0.10223078819836595,0.10223078819836595,0.17339509092796318,6.090446481174844,20.0,130.3,170.3,True,False,True
stratified32,SGC2024bkjqkz,PSO,4134458335,9030,0.43059919960796833,6,6.804333333,-73.09916667,150.91,6.831241894861027,-73.13156147201221,170.91,-1.4383064481730425,0.43133618119242345,0.3377427921254607,0.3377427921254607,0.09359338906696274,4.667359297896026,20.0,130.91,170.91,True,False,True
stratified32,SGC2024bkjqkz,LPSO,4134458335,9030,0.6900656004436314,6,6.804333333,-73.09916667,150.91,6.83124187709353,-73.13156146478376,170.91,-1.4383064719190806,0.43133618119242345,0.3377427921254629,0.3377427921254629,0.09359338906696058,4.667357416027629,20.0,130.91,170.91,True,False,True
stratified32,SGC2024bkjqkz,HSSO-no-helix,4134458335,9030,1.5170188997872174,6,6.804333333,-73.09916667,150.91,6.831241897683575,-73.13156147418604,170.91,-1.4383064397097698,0.43133618119242345,0.3377427921254618,0.3377427921254618,0.09359338906696163,4.667359683744752,20.0,130.91,170.91,True,False,True
stratified32,SGC2024bkjqkz,HSSO-E,4134458335,9030,1.4441566998139024,6,6.804333333,-73.09916667,150.91,6.831241904471597,-73.13156146817738,170.91,-1.4383064707551796,0.43133618119242345,0.33774279212546565,0.33774279212546565,0.0935933890669578,4.6673596595767375,20.0,130.91,170.91,True,False,True
new30,SGC2023vzpirs,PSO,994664493,9030,0.559217699803412,8,7.432833333,-74.07966667,25.73,7.333732155619847,-74.07848065406209,45.730000000000004,-0.015984693857028276,0.7045561823563863,0.4310353221121309,0.4310353221121309,0.27352086024425537,11.032721338196867,20.000000000000004,5.73,45.730000000000004,True,False,True
new30,SGC2023vzpirs,LPSO,994664493,9030,0.7564945002086461,8,7.432833333,-74.07966667,25.73,7.3337050018634455,-74.07846677787263,45.730000000000004,-0.015749730703273457,0.7045561823563863,0.43103532915138626,0.43103532915138626,0.273520853205,11.035762193354374,20.000000000000004,5.73,45.730000000000004,True,False,True
new30,SGC2023vzpirs,HSSO-no-helix,994664493,9030,1.2041375003755093,8,7.432833333,-74.07966667,25.73,7.3337224889050985,-74.0784757170634,45.730000000000004,-0.015901026018340758,0.7045561823563863,0.431035321404993,0.431035321404993,0.2735208609513933,11.033803852989974,20.000000000000004,5.73,45.730000000000004,True,False,True
new30,SGC2023vzpirs,HSSO-E,994664493,9030,1.2794971000403166,8,7.432833333,-74.07966667,25.73,7.333714275140841,-74.07847153502954,45.730000000000004,-0.015829875791476766,0.7045561823563863,0.43103532231306035,0.43103532231306035,0.27352086004332593,11.034723664096727,20.000000000000004,5.73,45.730000000000004,True,False,True
